            time            | temperature | humidity | pressure | light | sound 
----------------------------+-------------+----------+----------+-------+-------
 2020-10-27 11:39:46.869095 |       64.54 |     67.7 |    99.96 |    47 |    30
 2020-10-27 11:39:57.520056 |       64.51 |    67.64 |    99.96 |    47 |     4
 2020-10-27 11:40:08.974737 |       64.47 |    67.77 |    99.96 |    47 |    17
 2020-10-27 11:40:19.946667 |       64.54 |    67.56 |    99.96 |    47 |     5
 2020-10-27 11:40:30.991263 |       64.56 |    67.74 |    99.96 |    47 |     6
 2020-10-27 11:40:41.595822 |       64.51 |    67.74 |    99.95 |    46 |    62
 2020-10-27 11:40:52.365277 |        64.6 |    67.72 |    99.96 |    47 |     5
 2020-10-27 11:41:03.069369 |       64.67 |    67.65 |    99.96 |    47 |     5
 2020-10-27 11:41:15.384262 |       64.72 |    67.65 |    99.96 |    47 |    16
 2020-10-27 11:41:26.109387 |       64.72 |    67.52 |    99.96 |    50 |     7
 2020-10-27 11:41:37.075901 |       64.72 |    67.57 |    99.96 |    52 |     7
 2020-10-27 11:41:48.090216 |       64.72 |    67.57 |    99.95 |    50 |     5
 2020-10-27 11:41:59.012114 |       64.71 |    67.58 |    99.96 |    50 |     5
 2020-10-27 11:42:09.552375 |       64.72 |    67.48 |    99.96 |    50 |    28
 2020-10-27 11:42:20.097797 |       64.76 |    67.48 |    99.96 |    50 |     3
 2020-10-27 11:42:30.677108 |       64.72 |     67.5 |    99.96 |    49 |    31
 2020-10-27 11:42:41.227937 |       64.76 |    67.54 |    99.96 |    47 |    45
 2020-10-27 11:42:51.914549 |       64.76 |    67.55 |    99.95 |    45 |     5
 2020-10-27 11:43:02.51218  |        64.8 |    67.54 |    99.96 |    45 |     8
 2020-10-27 11:43:13.187937 |       64.83 |    67.47 |    99.96 |    45 |     3
 2020-10-27 11:43:25.410283 |       64.76 |    67.47 |    99.96 |    45 |     4
 2020-10-27 11:43:36.025802 |        64.9 |    67.55 |    99.96 |    45 |     4
 2020-10-27 11:43:46.605045 |        64.8 |     67.7 |    99.96 |    45 |     3
 2020-10-27 11:43:57.162532 |       64.87 |    67.63 |    99.96 |    47 |     6
 2020-10-27 11:44:07.712385 |        64.9 |    67.49 |    99.96 |    48 |     4
 2020-10-27 11:44:18.294527 |       64.87 |    67.43 |    99.96 |    55 |    44
 2020-10-27 11:44:28.877681 |       64.87 |    67.38 |    99.97 |    57 |   159
 2020-10-27 11:44:39.459344 |        64.9 |    67.36 |    99.96 |    52 |     3
 2020-10-27 11:44:50.032051 |        64.9 |    67.42 |    99.96 |    51 |     3
 2020-10-27 11:45:00.639261 |       64.92 |    67.34 |    99.96 |    43 |    19
 2020-10-27 11:45:11.200443 |       64.92 |    67.32 |    99.96 |    51 |    11
 2020-10-27 11:45:21.767515 |       64.92 |    67.29 |    99.96 |    53 |    96
 2020-10-27 11:45:32.507969 |       64.96 |    67.14 |    99.96 |    56 |    44
 2020-10-27 11:45:43.174876 |        64.9 |    67.05 |    99.96 |    64 |    10
 2020-10-27 11:45:53.759301 |        64.9 |    67.01 |    99.96 |    63 |    71
 2020-10-27 11:46:05.723084 |        64.9 |    66.92 |    99.96 |    62 |    16
 2020-10-27 11:46:16.302713 |       64.96 |    66.84 |    99.97 |    62 |    31
:
